Date,Amount,Location,Store,Fraudulent
2008-05-19,510.11,West Crystal,Wagner-Copeland,True
1991-06-19,424.33,Lake Christopher,"Dickson, Davis and Taylor",False
2007-02-16,620.5,Rogersfurt,"Farmer, Mccarty and Wise",True
1997-02-23,266.26,Kennedyside,Miller Inc,False
1978-06-06,120.73,West Roberta,"Stark, Nash and Kerr",False
2019-05-10,349.73,West Vanessafort,"Simpson, Trujillo and Anderson",True
1975-01-31,398.86,East Ryanton,Rios Inc,True
2004-11-14,385.67,New Richard,Smith-Bradley,False
1998-12-13,810.49,Lake Cathy,"Miller, Burnett and Berg",True
2007-05-27,270.55,West Teresaborough,Hill-Velasquez,False
2023-03-31,302.52,West Mercedesborough,Shaw-Scott,True
1985-10-30,728.22,Kristenshire,"Fuentes, Robertson and Williams",False
1986-10-13,614.0,Blairbury,"Jackson, Chen and Fox",False
1976-05-06,573.76,Port Taylorfort,Henry Inc,False
1974-10-17,953.57,Collinsside,Fritz-Taylor,True
1993-07-13,559.06,Lake Jillfurt,Elliott Group,True
2020-04-06,948.48,Jackside,Mendoza PLC,True
1983-04-19,677.59,North Sabrina,"Cohen, Berry and Harrison",False
2014-03-31,333.2,East Sheena,"Parker, Lang and Hall",False
2023-10-07,99.16,Mitchellbury,Johnson-Gonzalez,True
1997-11-15,247.79,Lake Lorimouth,Williams PLC,True
2011-08-08,672.26,Roblesview,Trevino LLC,False
1973-05-08,993.61,West Melissa,Miller LLC,False
1995-05-16,125.29,Aaronburgh,James-Lopez,True
1981-01-06,133.29,West Leslieside,Webster Group,False
1997-01-09,965.05,Bakerland,Stevenson-Nelson,False
1980-05-07,198.63,West Lisashire,Carter-Ramirez,False
2020-01-13,448.9,Cantrellmouth,Hernandez Group,True
1983-09-13,331.33,Padillaborough,"Wilson, Welch and White",True
1973-09-30,835.83,South Davidville,Juarez-Horton,True
1983-06-25,490.35,East Carla,Harper LLC,False
2002-11-02,607.25,West Jaclyn,Reese-Lewis,False
1976-07-22,555.64,Lake Douglasberg,Meyer Ltd,False
1992-05-22,442.47,Brianport,"Smith, Mendoza and Guerrero",True
2006-11-09,866.31,Donnachester,"Davis, Jackson and Martinez",False
2024-06-06,919.75,Lake Juan,Davidson-Vasquez,False
2018-09-29,46.82,Robertburgh,Newton Inc,False
1999-08-05,941.03,Michaelabury,"Atkinson, Merritt and Gilmore",True
1989-11-23,341.41,Stephenston,Byrd-Gallagher,True
1991-09-01,111.33,Colleenfort,Gray-Hensley,False
1995-03-01,849.47,South Chadview,"Moore, Thomas and Gomez",False
1998-10-02,355.29,Medinamouth,Payne PLC,False
2001-08-11,600.85,Sarahborough,Day-Anderson,False
2024-11-29,322.38,Jessehaven,Smith Group,False
2019-09-07,772.36,Whitneyville,Schultz-Franklin,True
1994-05-24,215.79,Romanmouth,Walker-Jones,False
2015-10-26,235.72,New Emily,Pitts LLC,True
1984-08-09,653.44,East Jamesborough,Garcia-Yu,True
1980-01-14,747.79,Herbertville,Walsh-Hodges,False
2016-06-06,945.5,Lake Tamifurt,"Marsh, Sanchez and Clark",True
